# log(age/yr)   M_ini       M_act   logL/Lo logTe   logG    mbol    u       g       r       i       z   C/O M_hec   period  pmode   logMdot int_IMF
    10.00   0.8965694904    0.7766  1.7179  3.7403  2.5174  0.475   2.107   0.924   0.471   0.320   0.261   0.4787  0.0000  0.8 1   -11.749 3.1090893745
    10.00   0.8966174126    0.7767  1.7190  3.7402  2.5159  0.472   2.105   0.921   0.468   0.317   0.258   0.4787  0.0000  0.8 1   -11.749 3.1091058254
    10.00   0.8967387080    0.7768  1.7224  3.7398  2.5112  0.464   2.100   0.915   0.460   0.308   0.249   0.4787  0.0000  0.8 1   -11.748 3.1091473103
    10.00   0.8968602419    0.7770  1.7269  3.7392  2.5045  0.453   2.095   0.906   0.449   0.297   0.236   0.4787  0.0000  0.9 1   -11.747 3.1091890335
    10.00   0.8969871998    0.7771  1.7331  3.7384  2.4949  0.437   2.088   0.895   0.434   0.280   0.219   0.4787  0.0000  0.9 1   -11.746 3.1092324257
    10.00   0.8971190453    0.7773  1.7413  3.7373  2.4823  0.417   2.080   0.880   0.414   0.258   0.195   0.4787  0.0000  0.9 1   -11.745 3.1092777252
    10.00   0.8972502947    0.7774  1.7517  3.7358  2.4661  0.391   2.069   0.861   0.389   0.230   0.166   0.4787  0.0000  0.9 1   -11.744 3.1093225479
    10.00   0.8974012136    0.7776  1.7658  3.7339  2.4445  0.355   2.054   0.835   0.355   0.193   0.126   0.4787  0.0000  0.9 1   -11.743 3.1093742847
    10.00   0.8974816799    0.7777  1.7738  3.7329  2.4325  0.336   2.045   0.820   0.335   0.172   0.103   0.4787  0.0000  1.0 1   -11.743 3.1094017029
    10.00   0.8975793123    0.7779  1.7902  3.7311  2.4090  0.295   2.023   0.788   0.295   0.129   0.058   0.4787  0.0000  1.0 1   -11.742 3.1094353199
    10.00   0.8978319764    0.7782  1.8500  3.7242  2.3219  0.145   1.951   0.673   0.150   -0.029  -0.108  0.4787  0.0000  1.2 1   -11.741 3.1095216274
    10.00   0.8978540897    0.7782  1.8791  3.7211  2.2806  0.072   1.923   0.618   0.082   -0.103  -0.186  0.4787  0.0000  1.3 1   -11.742 3.1095292568
    10.00   0.8978706598    0.7782  1.9312  3.7165  2.2099  -0.058  1.863   0.515   -0.043  -0.236  -0.326  0.4787  0.0000  1.4 1   -11.743 3.1095347404
    10.00   0.8978755474    0.7782  1.9720  3.7129  2.1547  -0.160  1.814   0.435   -0.140  -0.340  -0.434  0.4787  0.0000  1.6 1   -11.743 3.1095364094
    10.00   0.8978794813    0.7782  2.0529  3.7059  2.0459  -0.362  1.718   0.276   -0.333  -0.546  -0.650  0.4787  0.0000  1.9 1   -11.745 3.1095378399
    10.00   0.8978814483    0.7782  2.1207  3.7000  1.9543  -0.532  1.641   0.144   -0.495  -0.720  -0.831  0.4787  0.0000  2.2 1   -11.748 3.1095385551
    10.00   0.8978835344    0.7782  2.1913  3.6951  1.8643  -0.708  1.564   0.004   -0.661  -0.895  -1.014  0.4787  0.0000  2.6 1   -11.750 3.1095392704
    10.00   0.8978865147    0.7782  2.2519  3.6912  1.7879  -0.860  1.496   -0.117  -0.803  -1.045  -1.170  0.4787  0.0000  3.0 1   -11.753 3.1095402241
    10.00   0.8978884220    0.7782  2.2699  3.6899  1.7648  -0.905  1.478   -0.152  -0.845  -1.090  -1.217  0.4787  0.0000  3.1 1   -11.754 3.1095409393
    10.00   0.8978977203    0.7783  2.2130  3.6941  1.8384  -0.763  1.533   -0.043  -0.713  -0.949  -1.069  0.4787  0.0000  2.7 1   -11.751 3.1095440388
    10.00   0.8979054093    0.7783  2.2019  3.6949  1.8528  -0.735  1.544   -0.021  -0.687  -0.921  -1.040  0.4787  0.0000  2.6 1   -11.750 3.1095466614
    10.00   0.8979433775    0.7783  2.2661  3.6903  1.7702  -0.895  1.480   -0.146  -0.837  -1.081  -1.206  0.4787  0.0000  3.0 1   -11.753 3.1095597744
    10.00   0.8979678750    0.7783  2.3550  3.6839  1.6558  -1.118  1.393   -0.318  -1.044  -1.301  -1.437  0.4787  0.0000  3.7 1   -11.758 3.1095681190
    10.00   0.8979852796    0.7784  2.4388  3.6777  1.5472  -1.327  1.317   -0.476  -1.239  -1.509  -1.653  0.4787  0.0000  4.5 1   -11.764 3.1095740795
    10.00   0.8979952335    0.7784  2.4894  3.6738  1.4808  -1.454  1.280   -0.569  -1.354  -1.633  -1.784  0.4787  0.0000  5.0 1   -11.769 3.1095774174
    10.00   0.8980052471    0.7784  2.5437  3.6697  1.4105  -1.589  1.247   -0.665  -1.475  -1.763  -1.921  0.4787  0.0000  5.7 1   -11.774 3.1095807552
    10.00   0.8980152607    0.7784  2.6012  3.6656  1.3365  -1.733  1.212   -0.768  -1.603  -1.901  -2.066  0.4787  0.0000  6.5 1   -11.782 3.1095843315
    10.00   0.8980258703    0.7784  2.6781  3.6594  1.2345  -1.925  1.184   -0.897  -1.772  -2.085  -2.260  0.4787  0.0000  7.7 1   -11.793 3.1095879078
    10.00   0.8980330229    0.7784  2.7446  3.6545  1.1488  -2.091  1.151   -1.013  -1.919  -2.244  -2.428  0.4787  0.0000  9.0 1   -11.806 3.1095902920
    10.00   0.8980384469    0.7784  2.8046  3.6496  1.0690  -2.241  1.137   -1.111  -2.049  -2.386  -2.579  0.4787  0.0000  10.3    1   -11.820 3.1095921993
    10.00   0.8980432749    0.7784  2.8663  3.6447  0.9877  -2.396  1.129   -1.206  -2.177  -2.528  -2.730  0.4787  0.0000  11.9    1   -11.836 3.1095938683
    10.00   0.8980476856    0.7784  2.9268  3.6404  0.9101  -2.547  1.118   -1.301  -2.305  -2.669  -2.879  0.4787  0.0000  13.7    1   -11.856 3.1095952988
    10.00   0.8980520368    0.7784  2.9843  3.6359  0.8344  -2.691  1.123   -1.385  -2.424  -2.801  -3.021  0.4787  0.0000  15.6    1   -11.878 3.1095969677
    10.00   0.8980566263    0.7784  3.0431  3.6306  0.7546  -2.838  1.148   -1.463  -2.541  -2.934  -3.165  0.4787  0.0000  18.0    1   -11.906 3.1095983982
    10.00   0.8980607390    0.7785  3.1222  3.6238  0.6481  -3.035  1.183   -1.566  -2.698  -3.112  -3.358  0.4787  0.0000  21.8    1   -11.311 3.1095998287
    10.00   0.8980611563    0.7785  3.1403  3.6223  0.6242  -3.081  1.192   -1.589  -2.734  -3.153  -3.401  0.4787  0.0000  22.7    1   -11.148 3.1096000671
    10.00   0.8980611563    0.7785  2.6528  3.6674  1.2922  -1.862  1.059   -0.910  -1.740  -2.035  -2.197  0.4735  0.0000  7.0 1   -11.786 3.1096000671
    10.00   0.8980798721    0.7418  2.7799  3.6610  1.1183  -2.180  0.936   -1.158  -2.033  -2.345  -2.518  0.4729  0.0000  9.4 1   -12.057 3.1096062660
    10.00   0.8980866075    0.7023  2.9651  3.6486  0.8596  -2.643  0.855   -1.477  -2.445  -2.791  -2.986  0.4729  0.0000  14.6    1   -12.393 3.1096086502
    10.00   0.8980873227    0.6971  2.8374  3.6579  1.0216  -2.324  0.891   -1.267  -2.166  -2.486  -2.664  0.4729  0.5378  10.9    1   -12.391 3.1096088886
    10.00   0.8980921507    0.5589  3.4642  3.6415  0.2330  -3.890  0.120   -2.548  -3.648  -4.037  -4.251  0.4729  0.5415  96.7    0   -9.496  3.1096105576
    10.00   0.8980929852    0.5589  3.4666  4.1111  2.1090  -3.897  -2.795  -3.165  -2.844  -2.583  -2.379  0.0110  0.5585  1.6 1   -13.444 3.1096107960
