#Dist    Mv  CL Typ  LTef  logg Age Mass  B-V    U-B    V-I    V-K    V        mux     muy        Vr    UU      VV      WW   [Fe/H] a(deg)      d(deg)    Av   Mbol
14.285 -2.20  3 6.41 3.625  0.76  9 0.82  1.353  1.093  1.431  3.090 13.587   -0.102   -0.200  -33.78   -2.35 -118.49 -101.02 -1.62 188.90003  -3.10000  0.072 -2.881
27.535 -2.40  3 6.52 3.616  0.60  9 0.82  1.429  1.216  1.520  3.269 14.935    0.042   -0.294  198.46  271.22 -340.36  -16.60 -1.60 188.90003  -3.10000  0.072 -3.184
32.835 -2.00  3 6.32 3.634  0.91  9 0.82  1.296  0.850  1.400  2.972 15.635   -0.101   -0.165  109.22   10.67 -316.78  -43.36 -2.32 188.90003  -3.10000  0.072 -2.600
35.385 -1.20  3 6.01 3.660  1.41  9 0.82  1.099  0.516  1.143  2.620 16.553   -0.040    0.007   13.13  -59.68  -31.38   13.31 -2.41 188.90003  -3.10000  0.072 -1.610
43.485 -2.40  3 6.52 3.616  0.60  9 0.82  1.422  1.258  1.503  3.261 15.868   -0.203   -0.102  163.46 -223.10 -441.80   10.91 -1.41 188.90003  -3.10000  0.072 -3.184
45.785 -1.20  3 6.01 3.660  1.41  9 0.82  1.137  0.686  1.112  2.601 17.253   -0.069   -0.068  381.21   22.23 -357.61  246.96 -1.48 188.90003  -3.10000  0.072 -1.610
48.735 -1.20  3 6.01 3.660  1.41  9 0.82  1.081  0.468  1.151  2.622 17.378   -0.021   -0.110  142.20  108.59 -274.13   -6.78 -2.81 188.90003  -3.10000  0.072 -1.610
73.385 -2.40  3 6.52 3.616  0.60  9 0.82  1.458  1.101  1.599  3.313 17.069   -0.064   -0.045  165.60  -81.56 -304.71   50.91 -2.29 188.90003  -3.10000  0.072 -3.184
77.035 -2.50  3 6.61 3.608  0.47  9 0.82  1.499  1.312  1.607  3.432 17.078   -0.067   -0.004  -48.07 -210.17 -115.12  -64.68 -1.67 188.90003  -3.10000  0.072 -3.426
18.935 -2.00  3 6.32 3.634  0.91  9 0.82  1.320  1.244  1.323  2.937 14.491   -0.195   -0.118  260.41  -47.28 -281.15  168.31 -0.76 188.90003  -1.30000  0.070 -2.600
19.635 -2.50  3 6.61 3.608  0.47  9 0.82  1.482  1.401  1.569  3.411 14.053   -0.107   -0.276  228.61   83.56 -339.84   73.88 -1.28 188.90003  -1.30000  0.070 -3.426
20.985 -2.00  3 6.32 3.634  0.91  9 0.82  1.295  0.811  1.415  2.980 14.713   -0.201   -0.309   42.97  -14.81 -349.03 -119.62 -2.58 188.90003  -1.30000  0.070 -2.600
21.685 -1.60  3 6.15 3.648  1.17  9 0.82  1.198  0.675  1.250  2.774 15.201   -0.068   -0.201  139.04   67.35 -248.83   20.49 -2.33 188.90003  -1.30000  0.070 -2.087
46.935 -1.60  3 6.15 3.648  1.17  9 0.82  1.225  0.882  1.204  2.751 16.755    0.002   -0.085    3.18   95.61 -138.26  -85.91 -1.33 188.90003  -1.30000  0.070 -2.087
14.685 -1.20  3 6.01 3.660  1.41  9 0.82  1.122  0.621  1.122  2.605 14.639   -0.136   -0.457  -78.31   58.82 -255.52 -217.88 -1.79 188.90003   0.30000  0.069 -1.610
24.385 -2.40  3 6.52 3.616  0.60  9 0.82  1.413  1.339  1.478  3.250 14.574   -0.130   -0.230  122.95   23.84 -327.58  -18.42 -1.12 188.90003   0.30000  0.069 -3.184
30.085 -2.50  3 6.61 3.608  0.47  9 0.82  1.483  1.390  1.572  3.412 14.952   -0.057   -0.106  197.20   39.47 -236.55  103.61 -1.32 188.90003   0.30000  0.069 -3.426
33.935 -1.80  3 6.23 3.641  1.04  9 0.82  1.242  0.785  1.313  2.863 16.002    0.001   -0.233  211.27  222.79 -368.08   20.83 -2.15 188.90003   0.30000  0.069 -2.338
40.185 -2.50  3 6.61 3.608  0.47  9 0.82  1.507  1.283  1.625  3.441 15.539   -0.052   -0.129  136.83   60.85 -292.24    5.83 -1.83 188.90003   0.30000  0.069 -3.426
46.835 -1.60  3 6.15 3.648  1.17  9 0.82  1.220  0.838  1.209  2.751 16.855   -0.017   -0.035  -59.57   -4.99  -52.98  -90.19 -1.48 188.90003   0.30000  0.069 -2.087
 8.785 -2.00  3 6.32 3.634  0.91  9 0.82  1.295  0.875  1.389  2.966 12.781   -0.057   -0.017  145.72   18.07  -81.65  121.87 -2.17 190.70004  -3.10000  0.072 -2.600
15.535 -1.20  3 6.01 3.660  1.41  9 0.82  1.142  0.713  1.109  2.602 14.871   -0.044   -0.203  137.00   76.05 -185.98   42.80 -1.39 190.70004  -3.10000  0.072 -1.610
