# Dist    Mv  CL Typ  LTef  logg Age Mass  B-V    U-B    V-I    V-K    V        mux     muy        Vr    UU      VV      WW   [Fe/H] a(deg)      d(deg)    Av   Mbol
21.010 -2.00  3 6.32 3.634  0.91  9 0.82  1.300  0.927  1.378  2.976 14.708    0.052   -0.216 -199.31   87.89 -272.93   80.52 -1.90   6.30000  -1.30000  0.093 -2.600
37.670 -1.40  3 6.08 3.654  1.29  9 0.82  1.207  0.854  1.158  2.693 16.499    0.080   -0.047   53.32  -89.89 -112.95  -98.95 -1.21   6.30000  -1.30000  0.093 -1.845
69.490 -2.50  3 6.61 3.608  0.47  9 0.82  1.518  1.277  1.643  3.466 16.719    0.027   -0.067 -102.62   43.37 -254.78  -12.02 -1.90   6.30000  -1.30000  0.093 -3.426
13.450 -1.60  3 6.15 3.648  1.17  9 0.82  1.197  0.639  1.270  2.800 14.051    0.132   -0.236 -133.97   20.51 -213.28   41.22 -2.62   6.30000   0.30000  0.094 -2.087
26.490 -2.00  3 6.32 3.634  0.91  9 0.82  1.301  0.910  1.386  2.980 15.122    0.069   -0.157   34.18   15.74 -174.72 -128.88 -1.99   6.30000   0.30000  0.094 -2.600
33.950 -2.40  3 6.52 3.616  0.60  9 0.82  1.462  1.119  1.599  3.328 15.326    0.202   -0.217  -37.04 -106.51 -438.35 -159.64 -2.21   6.30000   0.30000  0.094 -3.184
35.010 -1.20  3 6.01 3.660  1.41  9 0.82  1.104  0.510  1.154  2.641 16.516   -0.051   -0.046    7.03  108.25  -11.66  -32.18 -2.48   6.30000   0.30000  0.094 -1.610
35.030 -1.80  3 6.23 3.641  1.04  9 0.82  1.265  0.980  1.273  2.865 15.926    0.196   -0.083   56.16 -222.85 -239.70 -145.79 -1.29   6.30000   0.30000  0.094 -2.338
38.730 -1.40  3 6.08 3.654  1.29  9 0.82  1.187  0.725  1.176  2.699 16.720    0.048   -0.072  -12.21  -10.53 -147.54  -58.32 -1.71   6.30000   0.30000  0.094 -1.845
38.830 -1.20  3 6.01 3.660  1.41  9 0.82  1.154  0.746  1.117  2.622 16.780    0.087   -0.047  -36.24  -91.26 -160.37  -23.85 -1.30   6.30000   0.30000  0.094 -1.610
