#recno|Group|HIP|[Fe/H]|Teff|logg|HRV|ULSR|VLSR|WLSR|Rm|e|Zmax|tau9|E_tau9|e_tau9|Pr|e_Pr|[FeI/H]|[C/H]|[O/H]|[Na/H]|[Mg/H]|[Al/H]|[Si/H]|[Ca/H]|[Sc/H]|[Ti/H]|[V/H]|[Cr/H]|[Mn/H]|[Co/H]|[Ni/H]|[Cu/H]|[Zn/H]|[Y/H]|[Ba/H]|[Ce/H]|[Nd/H]|[Eu/H]|_RA|_DE
# | | |Sun|K|[cm/s2]|km/s|km/s|km/s|km/s|kpc| |kpc|Gyr|Gyr|Gyr|%|%|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|deg|deg
#--------|----------------|------|-----|----|-----|------|------|----|----|------|-----|------|-----|----|----|--|--|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-------|-------|-------|---------|---------
      49|Thick disc      | 59750|-0.74|6069| 4.44|  -3.7|  61.0| -61| -60|  6.77| 0.35|  0.54|     |    |    |93| 2|-0.74| 0.28| 0.74| 0.15| 0.32| 0.25| 0.25| 0.17| 0.08| 0.17| 0.02|-0.09|-0.35| 0.09| 0.02|-0.08| 0.12| 0.07|-0.14|       |       |   0.32|183.79399|-10.31240
      50|Thick disc      | 60268|-0.72|5532| 4.62| -81.8|   6.7| -98| -37|  5.86| 0.45|  0.32|     |    |    |88| 5|-0.72| 0.39| 0.65| 0.08| 0.28| 0.29| 0.21| 0.19| 0.17| 0.21| 0.09| 0.02|-0.26| 0.10| 0.05| 0.08| 0.17|     |-0.14|   0.07|   0.17|   0.41|185.36720|+61.74725
      51|Thick disc      | 60956|-0.58|5362| 4.63|   6.1|   7.3|-139| -64|  5.21| 0.63|  0.73|     |    |    |91| 7|-0.58| 0.47| 0.56| 0.07| 0.22| 0.23| 0.21| 0.15| 0.19| 0.22| 0.20|-0.02|-0.18| 0.08| 0.05| 0.04| 0.15| 0.06|-0.10|   0.22|   0.29|   0.44|187.42806|-03.33297
      52|Thick disc      | 62240|-0.83|5663| 4.46| -36.4|  61.0| -68| -69|  6.73| 0.35|  0.75|     |    |    |97| 4|-0.83|     | 0.87| 0.16| 0.33| 0.34| 0.30| 0.03| 0.03| 0.11| 0.01| 0.03|-0.32| 0.19| 0.07|-0.11| 0.04| 0.04|-0.28|   0.21|   0.22|   0.57|191.34694|+04.35996
      53|Thick disc      | 64426|-0.71|5754| 4.16|  49.4| -72.0| -64|  64|  6.91| 0.36|  0.70|11.30| 3.4| 2.6|96| 0|-0.71| 0.31| 0.57| 0.06| 0.33| 0.16| 0.14| 0.20| 0.05| 0.14|-0.01|-0.09|-0.36| 0.09|-0.04|-0.08| 0.04|-0.07|-0.21|   0.09|   0.21|   0.21|198.08226|+17.51712
      54|Thick disc      | 65449|-0.44|5383| 3.84| -21.6|-141.0| -55| -37|  7.97| 0.48|  0.38| 9.70| 4.5| 3.1|85| 2|-0.44| 0.33| 0.50| 0.08| 0.20| 0.31| 0.17| 0.10| 0.07| 0.15| 0.09| 0.03|-0.22| 0.04|-0.01| 0.09| 0.04|-0.16|-0.14|  -0.27|       |   0.29|201.20379|+68.17576
      55|Thick disc      | 70520|-0.62|5708| 4.01| -48.2|  96.0| -78| -65|  6.79| 0.45|  0.75| 9.90| 2.9| 2.2|97| 0|-0.62| 0.23| 0.52| 0.12| 0.28| 0.28| 0.21| 0.20| 0.05| 0.23| 0.11|     |-0.25| 0.12| 0.01|-0.02| 0.09|-0.06|-0.22|   0.11|   0.07|   0.28|216.37550|+20.59016
      56|Thick disc      | 70681|-1.10|5396| 4.70| -46.7| -12.0| -41| -69|  7.21| 0.18|  0.71|     |    |    |94| 7|-1.10|     | 0.90| 0.05| 0.32| 0.29| 0.39| 0.19| 0.13| 0.12| 0.07|-0.06|-0.47| 0.07|-0.01|-0.33| 0.08| 0.29| 0.10|       |   0.34|   0.53|216.85379|-18.41124
      57|Thick disc      | 71819|-0.14|5825| 4.35| -18.1| -65.0|-101|  38|  6.01| 0.50|  0.33|     |    |    |94| 0|-0.14| 0.10| 0.16| 0.02| 0.06| 0.09| 0.03| 0.05| 0.02|     | 0.04|-0.01|-0.07| 0.02|     | 0.01| 0.02|-0.02|-0.06|   0.03|   0.16|   0.03|220.36990|+13.60147
      58|Thick disc      | 72407|-0.54|5567| 4.56|   1.5| -88.0| -60|  48|  7.10| 0.38|  0.47|     |    |    |81| 6|-0.54| 0.45| 0.65| 0.12| 0.32| 0.29| 0.30| 0.21| 0.30| 0.25| 0.20| 0.05|-0.20| 0.14| 0.10| 0.08| 0.17| 0.13|-0.13|   0.09|   0.29|   0.56|222.07793|+58.91003
      59|Thick disc      | 72803|-0.73|5159| 3.57| -98.9| -98.0| -85| -45|  6.65| 0.47|  0.40| 9.60| 5.0| 3.3|94| 1|-0.73| 0.37| 0.83| 0.14| 0.34| 0.40| 0.31| 0.17| 0.14| 0.19| 0.08|-0.05|-0.26| 0.11| 0.09| 0.01| 0.09|-0.01|-0.28|   0.07|   0.19|   0.42|223.21496|+48.46841
      60|Thick disc      | 74033|-0.85|5574| 3.95| -59.9|-104.0|-120|  33|  5.99| 0.62|  0.28|13.80| 2.2| 1.9|94| 2|-0.85| 0.39| 0.80| 0.16| 0.41| 1.60| 0.27| 0.25| 0.13| 0.24| 0.11|     |-0.35| 0.20| 0.03|-0.09| 0.18| 0.17|-0.11|   0.02|   0.19|   0.34|226.94375|+08.87978
      61|Thick disc      | 74067|-0.75|5572| 4.63| -61.1| -20.0| -60| -61|  6.72| 0.27|  0.62|     |    |    |91| 3|-0.75| 0.42| 0.63| 0.05| 0.31| 0.27| 0.20| 0.13| 0.19| 0.15| 0.05|-0.06|-0.32| 0.01| 0.01|-0.07| 0.14| 0.09|-0.10|   0.14|   0.21|   0.48|227.05236|-07.91320
      62|Thick disc      | 81748|-0.01|5559| 4.29| -76.0|  -4.0| -65| -56|  6.56| 0.29|  0.55|     |    |    |86| 4|-0.01| 0.14| 0.23|-0.03|-0.03| 0.09| 0.08|-0.06| 0.02|-0.08|-0.03|-0.01|-0.09|-0.03|-0.03|-0.01|-0.08|-0.04|-0.19|   0.16|   0.10|   0.04|250.45926|+13.14884
