#recno|HD|Teff|logg|[Fe/H]|UVel|VVel|WVel|Rm|Zmax|ecc|logt9|Simbad|[C/Fe]|[N/Fe]|[O/Fe]|[O/Fe]n|[Na/Fe]|[Mg/Fe]|[Al/Fe]|[Si/Fe]|[S/Fe]|[K/Fe]|[Ca/Fe]|[Sc/Fe]|[Ti/Fe]|[V/Fe]|[Cr/Fe]|[Mn/Fe]|[Co/Fe]|[Ni/Fe]|[Cu/Fe]|[Zn/Fe]|[Sr/Fe]|[Yr/Fe]|[Ba/Fe]|[Zr/Fe]|[Ce/Fe]|[Nd/Fe]|[Eu/Fe]|_RA|_DE
# | |K|[cm/s2]|[Sun]|km/s|km/s|km/s|kpc|kpc| |[Gyr]| |[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|deg|deg
#--------|------|----|-----|-----|------|-----|-----|-----|------|------|-----|------|-----|-----|-----|-----|-----|-----|-----|-----|------|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|---------|---------
      33| 22255|6187| 4.14|-0.28|  20.5| -3.3|-23.4| 8.32| 0.188| 0.070| 0.66|Simbad| 0.13|     | 0.27|     | 0.06| 0.10| 0.09| 0.06|  0.07| 0.22| 0.02| 0.05| 0.02|-0.05| 0.03|-0.19| 0.00| 0.00|     | 0.09|     | 0.06|     | 0.15|     |     | 0.08|053.79232|+05.71401
      34| 22521|5783| 3.96|-0.25| -59.2| -3.0|-29.7| 8.54| 0.264| 0.180| 0.70|Simbad| 0.19|     | 0.28| 0.15| 0.06| 0.09| 0.11| 0.04|  0.18| 0.43| 0.09| 0.11| 0.06| 0.02| 0.04|-0.15| 0.07| 0.05|-0.04| 0.09|-0.06|-0.03|-0.02|-0.03| 0.03| 0.01| 0.17|054.73827|+42.53828
      35| 22718|5729| 3.93|-0.19| -73.5| -1.3| 22.1| 8.73| 0.195| 0.230| 0.70|Simbad| 0.18|     | 0.34|-0.03| 0.06| 0.09| 0.15| 0.06|  0.21| 0.37| 0.03| 0.05| 0.00|-0.04|-0.02|     | 0.01|-0.01|-0.01| 0.03|-0.06|-0.05|-0.05|-0.13|-0.14|-0.03|-0.01|055.35689|+50.82157
      36| 23438|5785| 4.18|-0.36| -69.4|  2.3| 16.6| 8.81| 0.143| 0.210| 0.98|Simbad| 0.21|     | 0.34| 0.06| 0.03| 0.07| 0.11| 0.07|  0.17|     |     |     |     | 0.00|     |     |     |     |-0.07|     |-0.09|-0.10|-0.07|-0.14|-0.07|-0.04| 0.14|056.72006|+41.85939
      37| 24421|5987| 4.14|-0.38| -53.9| 14.4|  9.2| 9.14| 0.077| 0.170| 0.81|Simbad| 0.05|     | 0.31| 0.10| 0.02| 0.04| 0.09| 0.03|  0.03| 0.26| 0.01| 0.02| 0.02|-0.02|-0.05|     | 0.04|-0.02|-0.09|-0.04|-0.06|-0.07|-0.07|-0.06|-0.10| 0.04| 0.09|058.90450|+52.22682
      38| 26421|5737| 3.98|-0.39| -59.3|-18.2| 74.0| 8.14| 0.870| 0.200| 0.80|Simbad| 0.25|     | 0.36|     | 0.01| 0.12| 0.16| 0.07|  0.10| 0.47| 0.06| 0.01| 0.04|-0.04|-0.01|-0.18|-0.03|-0.04|-0.09| 0.03|-0.10|-0.16|-0.18|-0.19|-0.10| 0.03| 0.08|063.09562|+37.71209
      39| 27816|5965| 3.86|-0.54|   2.2| 15.5|-33.8| 9.00| 0.297| 0.050| 0.66|Simbad| 0.10|     | 0.29|     | 0.12| 0.14| 0.12| 0.07|      | 0.38| 0.10|-0.04| 0.10| 0.01|-0.03|     | 0.01|-0.01|-0.06| 0.00| 0.01|-0.15|     |-0.07|-0.09|     | 0.07|066.70637|+58.24061
      40| 36066|5879| 3.98|-0.01|  42.4|-27.5| 10.7| 7.62| 0.083| 0.180| 0.58|Simbad| 0.05| 0.08| 0.17|     |-0.01| 0.11| 0.05| 0.02|  0.06| 0.14|-0.01| 0.04|-0.01|-0.06| 0.00|-0.10|-0.02|     |-0.05|-0.03| 0.03|-0.01| 0.00| 0.00|-0.05|-0.03| 0.03|083.14084|+57.22107
      41| 36667|5776| 4.00|-0.45| -27.9|  9.1| -5.8| 8.78| 0.046| 0.090| 0.91|Simbad| 0.34|     | 0.39|     | 0.09| 0.14| 0.13| 0.10|  0.20| 0.25| 0.05| 0.11| 0.03|-0.04|-0.01|-0.16| 0.01|-0.02|-0.05| 0.14| 0.33| 0.38| 0.33| 0.47| 0.26| 0.40| 0.14|083.49996|+15.58455
      42| 36909|5900| 4.24|-0.22| -12.3| -6.5| -1.6| 8.18| 0.012| 0.050| 0.82|Simbad| 0.22|     | 0.30|     | 0.00|-0.06| 0.02| 0.04|  0.23| 0.13|-0.01|-0.05|-0.07|-0.10|-0.06|-0.14|-0.11|-0.06|-0.16| 0.01| 0.00| 0.09| 0.01| 0.11| 0.08|-0.06|     |084.10421|+32.00354
      43| 41640|6005| 4.35|-0.56|  33.4|-25.8| 10.8| 7.63| 0.083| 0.160| 0.85|Simbad| 0.11|     | 0.26|     | 0.09| 0.10| 0.09| 0.06|  0.10| 0.23| 0.03| 0.01| 0.04| 0.00|-0.01|-0.21|-0.06|-0.03|-0.10| 0.03|-0.04|-0.05|-0.09| 0.02| 0.08|-0.04|     |091.78844|+16.55608
      44| 42618|5653| 4.58|-0.16| -71.8| -6.9| 18.2| 8.50| 0.156| 0.220|     |Simbad| 0.13|     | 0.18| 0.10|-0.04|-0.07| 0.00| 0.01|  0.12|-0.06|-0.02| 0.11|-0.04|-0.05|-0.04|-0.07|-0.03|-0.02|-0.03| 0.09|-0.10| 0.10|     | 0.05| 0.10| 0.12|     |093.00236|+06.78307
      45| 45067|5946| 3.99|-0.12|   7.5|-60.5| 19.6| 6.66| 0.153| 0.280| 0.60|Simbad| 0.08| 0.15| 0.19|     | 0.00| 0.07| 0.08| 0.03|  0.10| 0.20|-0.01|     | 0.00|-0.07|-0.01|-0.08|-0.04|-0.02|-0.07| 0.03| 0.02|-0.06|-0.02|-0.05|-0.06|-0.02|-0.03|096.31894|-00.94588
      46| 52711|5775| 4.40|-0.20|   8.0|-72.3| -1.9| 6.39| 0.014| 0.330| 0.85|Simbad| 0.16| 0.21| 0.25|     |-0.01| 0.06| 0.07| 0.04|  0.18| 0.07|-0.02| 0.09|-0.02|-0.06|-0.03|-0.06|-0.01|-0.01|-0.06| 0.08|-0.01| 0.05| 0.07| 0.02| 0.07| 0.12| 0.08|105.87691|+29.33708
      47| 54182|5747| 3.81|-0.24|  -0.1|-29.6|  8.2| 7.45| 0.061| 0.140| 0.60|Simbad| 0.24| 0.25| 0.42|     | 0.05| 0.07| 0.09| 0.08|  0.26| 0.25| 0.01| 0.07|-0.02|-0.10|-0.02|-0.14|-0.05|-0.01|-0.10| 0.09| 0.01| 0.06| 0.11| 0.04|-0.05| 0.08|     |107.29352|+30.38697
      48| 59360|5710| 4.15|-0.21|  35.0|-39.5| 25.6| 7.26| 0.208| 0.210| 0.96|Simbad| 0.17|     | 0.34|     |-0.09| 0.06| 0.09| 0.05|  0.18| 0.07| 0.00| 0.06|-0.02|-0.10|-0.04|-0.15|-0.04|-0.04|-0.10| 0.05|-0.13|-0.06|-0.01|-0.07|-0.02| 0.07| 0.07|112.59747|+19.81392
      49| 63332|6261| 4.23| 0.04|  -8.7| 14.0|  3.6| 8.92| 0.028| 0.050| 0.34|Simbad|-0.01| 0.04| 0.17|     |-0.11| 0.07| 0.07| 0.02| -0.01| 0.14| 0.01|-0.13|-0.04| 0.14| 0.00|-0.15|-0.12|-0.05|-0.27|-0.08|     | 0.08|     | 0.08|-0.01|     |     |117.77379|+54.12924
      50| 63333|6054| 4.25|-0.38|  -8.7|  9.9|-20.2| 8.77| 0.163| 0.040| 0.77|Simbad| 0.15| 0.27| 0.32| 0.21| 0.08| 0.05| 0.03| 0.05|  0.13| 0.32| 0.08| 0.00| 0.02|-0.02|-0.02|-0.19|-0.01|-0.02|-0.11| 0.05| 0.01|-0.02|-0.07| 0.04|-0.04|-0.01| 0.05|117.32855|+24.48873
      51| 69897|6247| 4.29|-0.25|  14.2|-33.3| 14.3| 7.36| 0.110| 0.160| 0.47|Simbad| 0.04| 0.17| 0.20|     | 0.04| 0.10| 0.00| 0.05|  0.00| 0.31| 0.00| 0.00| 0.03|-0.03| 0.00|-0.14|-0.05|-0.04|-0.14| 0.01| 0.08| 0.03|     | 0.16| 0.03| 0.06| 0.05|125.01608|+27.21771
      52| 71148|5703| 4.46|-0.08| -30.0|-33.0|-15.2| 7.41| 0.118| 0.180| 0.65|Simbad| 0.10| 0.22| 0.15| 0.03|-0.02| 0.04| 0.03| 0.01|  0.14|     |-0.03|-0.03|-0.02|-0.09|-0.01|-0.02|-0.03|-0.06|-0.04|-0.03|-0.03| 0.00|     |-0.14|-0.05|     | 0.01|126.90327|+45.65299
      53| 73400|6196| 4.17|-0.21|  15.3| -5.8|-20.8| 8.22| 0.164| 0.060| 0.58|Simbad| 0.04|     | 0.21| 0.03| 0.00| 0.10| 0.13| 0.04|  0.00| 0.28| 0.08| 0.06| 0.11| 0.06|-0.04|-0.15|-0.07|-0.03|-0.12|-0.03|     | 0.06|-0.04| 0.09| 0.04|     | 0.16|129.48982|-08.88159
