#ra,dec,Dist,UVel,VVel,WVel,RVel,pmRA,pmDE
11.5571,-11.4522,109,56,12,-3,-1.3,-104,-39
11.7154,46.3636,139,16,5,-14,-0.1,-25,-23
11.5329,-44.1036,63,-52,-50,-13,15.4,239,-35
11.6867,21.6242,119,-20,-27,-4,-7.0,56,-18
11.6687,-4.4269,28,13,-26,-22,9.0,26,-263
11.4283,-67.8747,50,29,-14,-25,37.0,-67,-18
11.7533,23.2506,72,16,-31,11,-33.7,9,-38
11.7546,-1.2525,65,-9,-17,-13,7.7,55,-46
11.6596,-54.1014,112,-29,30,-3,-16.2,15,71
11.5308,-71.2294,85,47,-1,-22,34.8,-96,-7
11.895,-25.3947,107,6,3,-11,11.0,-14,-2
11.8779,-36.94,50,76,-41,53,-39.0,-182,-352
11.9887,-9.3464,82,-104,23,26,-3.2,194,206
12.2758,57.815,6,-30,-11,-17,8.2,1087,-560
12.0954,5.2806,7,-1,-45,-11,-10.8,757,-1135
12.1383,0.3819,81,-9,-31,19,-26.7,63,-26
12.1867,18.6853,61,17,-19,4,-21.4,-15,-51
12.4146,60.7589,90,4,-23,-6,-21.6,21,-17
12.2446,16.9406,24,8,-12,-18,3.1,-2,-201
11.8425,-73.2292,201,-49,-43,29,-13.6,67,-30
12.3904,38.2047,54,-12,-25,10,-17.3,91,13
12.3858,44.0592,67,16,19,-24,14.5,-73,-64
12.2092,-48.5936,112,24,0,-16,19.7,-38,-12
12.5633,56.5261,120,-34,-47,20,-23.6,95,32
12.3612,-23.2122,19,-46,-15,-8,8.6,519,125
12.2783,-39.1339,102,-9,-10,-5,5.5,27,-5
12.2754,-39.1328,117,-11,-9,-2,2.6,26,-2
12.4938,34.9742,97,32,5,-2,-11.1,-65,-17
12.47,27.7106,106,-41,-25,-7,5.0,96,-9
12.145,-67.5317,123,-44,-52,-7,17.7,112,-20
12.6042,50.6303,61,8,8,-3,2.8,-36,-7
12.2987,-53.7742,51,19,1,1,3.5,-69,-36
12.5312,-10.6442,15,21,-2,-12,8.1,-225,-229
12.3962,-54.1639,77,-16,-21,-17,19.1,68,-1
12.6196,7.1019,31,4,2,-43,35.2,-26,-169
11.0913,-85.8914,65,-33,-1,11,-20.5,91,-6
12.7933,33.5578,124,-35,26,-2,37.1,26,31
12.7683,2.7433,93,25,-29,5,-23.1,-12,-68
12.8533,32.6569,53,25,9,-22,5.9,-102,-86
12.795,-5.0392,22,-16,-26,-1,-3.9,264,-119
12.6712,-50.9867,76,-22,-7,-27,22.0,63,46
12.895,12.7847,89,-24,-29,-1,-6.0,85,-22
12.8325,-9.4053,83,7,5,11,-10.6,-22,9
12.8417,-38.5286,52,2,-9,-4,5.6,14,-32
12.9354,-6.1,168,-37,-23,6,-4.9,55,4
12.8612,-43.5906,48,-15,-4,-3,1.6,64,23
13.2671,61.1239,19,-6,21,15,20.8,-68,170
12.7183,-71.1514,39,3,1,-11,8.1,-14,38
13.1671,31.4592,39,-27,-30,-3,-7.6,213,-43
13.1171,21.4097,94,-14,-27,-23,4.2,60,-61
12.9671,-43.7089,86,-9,-9,-12,12.3,31,2
13.0712,-13.9058,143,-14,2,-23,24.6,16,6
13.0546,-21.1078,86,25,-7,-16,13.6,-42,-52
13.0525,-22.6172,54,55,-30,15,-19.6,-115,-211
13.2154,40.2456,42,50,-44,38,-74.3,-90,53
13.2471,39.0433,51,-13,-6,39,-13.8,60,152
