#oid vrad verr R
291 -19.1459 2.88 0.94
943 16.4992 6.389 0.86
292 50.1621 4.158 0.92
221 19.8462 2.808 0.95
295 33.5199 4.077 0.92
361 14.784 4.263 0.89
947 -10.8496 4.724 0.87
583 34.9553 7.712 0.81
301 22.1264 3.215 0.94
232 215.732 3.045 0.94
370 4.3993 4.853 0.93
387 -55.8533 3.312 0.93
955 206.9327 8.188 0.65
265 -8.2603 7.228 0.85
273 11.4453 3.987 0.91
281 43.4437 4.761 0.87
680 -36.6375 6.033 0.83
876 -46.6828 5.772 0.83
609 80.6897 3.489 0.92
881 -3.137 4.418 0.93
934 114.4758 7.397 0.81
1013 -4.4991 6.409 0.87
267 18.9489 2.964 0.95
1024 89.3658 6.81 0.92
17 75.0775 4.467 0.92
124 -38.8073 4.541 0.91
396 1.7849 3.967 0.93
146 198.9116 5.551 0.88
134 94.6812 2.321 0.95
574 -22.6843 3.429 0.95
975 9.937 5.214 0.92
262 194.997 3.757 0.93
566 20.2831 3.116 0.93
653 18.9218 2.189 0.95
739 21.845 11.459 0.76
766 41.1421 10.806 0.76
209 59.5007 3.657 0.91
536 -16.1103 3.993 0.93
763 47.2454 7.98 0.78
150 -5.9028 3.122 0.95
510 25.5478 2.664 0.96
631 -6.1483 3.382 0.93
675 202.3652 5.408 0.81
1002 333.5468 9.328 0.68
249 -22.8385 3.157 0.94
239 38.0943 2.612 0.95
630 152.1463 1.993 0.95
422 69.6796 3.582 0.93
279 33.7825 4.312 0.94
844 28.0512 8.23 0.84
642 229.7635 5.09 0.93
824 53.2686 3.132 0.94
986 -6.1312 5.035 0.92
1031 -13.1668 9.302 0.76
378 66.7141 3.968 0.93
12 64.9897 4.377 0.93
1012 9.5528 4.989 0.9
34 2.2566 3.933 0.93
82 79.1285 6.083 0.86
95 27.1102 4.362 0.93
171 63.5676 2.857 0.95
208 -32.2566 3.025 0.95
223 16.8622 1.84 0.96
272 1.7629 2.074 0.95
317 -18.9375 2.537 0.96
373 11.1443 3.949 0.95
953 10.2436 4.716 0.92
434 20.9253 5.729 0.87
242 38.6403 9.583 0.69
592 27.5196 5.146 0.89
435 -12.2464 4.351 0.95
717 -0.1715 19.595 0.58
212 37.8487 2.596 0.94
401 52.9078 2.609 0.95
226 37.913 3.201 0.94
774 43.1155 6.828 0.81
744 85.4991 8.495 0.78
777 100.4498 7.505 0.87
797 12.8427 24.09 0.57
794 -13.9078 48.143 0.47
828 -3.8231 4.162 0.94
245 -8.01 2.737 0.96
833 131.6036 13.054 0.68
838 44.5155 3.876 0.91
842 44.3601 14.125 0.54
939 20.1327 15.892 0.54
354 73.8037 4.961 0.9
850 24.6712 9.13 0.84
858 48.838 9.463 0.76
859 58.7252 4.135 0.92
957 19.76 3.218 0.95
866 8.7141 4.384 0.86
337 218.6629 4.636 0.84
343 47.4239 4.414 0.91
334 17.018 3.953 0.94
311 -42.8863 3.683 0.92
873 -15.5044 3.991 0.91
726 93.5015 9.845 0.84
368 -1.6293 3.092 0.93
885 16.7916 8.284 0.84
889 169.2106 8.315 0.79
890 -11.5687 5.454 0.88
892 -4.55 16.905 0.59
372 2.0312 1.913 0.95
376 26.5352 4.688 0.85
963 92.788 9.843 0.71
1030 36.1611 8.082 0.75
382 0.2351 2.385 0.94
906 18.8614 34.066 0.6
907 -1.6344 5.704 0.91
383 12.1428 5.068 0.89
386 4.1186 2.926 0.95
910 18.1505 3.993 0.88
964 28.0477 4.021 0.94
388 14.4182 3.569 0.92
390 13.6324 4.821 0.92
393 19.2775 8.9 0.83
920 -44.5349 3.861 0.92
395 84.5738 4.236 0.91
397 116.1345 2.651 0.95
924 287.6274 14.667 0.61
714 104.2588 29.87 0.42
404 74.4914 4.417 0.91
402 90.2693 6.052 0.86
403 28.6566 4.159 0.94
408 -31.6169 3.871 0.94
409 24.364 5.565 0.89
940 23.726 3.59 0.93
941 15.1163 6.368 0.83
410 61.9631 18.87 0.68
411 7.7011 6.766 0.85
952 93.3446 6.156 0.75
961 91.524 7.18 0.87
412 -35.1707 2.154 0.95
413 80.0448 6.656 0.82
416 -40.237 6.869 0.84
972 21.7659 5.271 0.85
984 12.2206 4.31 0.94
556 66.8933 7.39 0.78
417 149.0827 6.844 0.85
990 3.4441 7.341 0.9
987 62.2794 13.196 0.86
421 26.2451 10.382 0.8
423 47.3774 4.228 0.93
998 5.9541 19.548 0.63
999 -95.2743 5.686 0.87
442 0.882 6.768 0.92
1004 17.7693 8.473 0.78
1007 19.6006 5.234 0.89
1008 23.3416 7.817 0.82
445 21.0926 3.527 0.94
448 -21.7215 10.261 0.83
449 14.3211 4.74 0.91
1017 11.3696 5.069 0.87
746 -12.9737 17.284 0.61
451 34.9152 2.133 0.95
453 21.3844 4.166 0.91
455 78.1361 4.59 0.91
1025 -37.8721 14.542 0.78
996 33.587 8.894 0.84
276 34.2521 5.0 0.9
461 12.2458 4.659 0.92
462 -9.8937 4.212 0.94
464 260.6976 7.584 0.81
1033 118.9122 8.183 0.7
1035 -2.0271 9.136 0.78
469 9.1667 3.777 0.95
466 -15.3751 3.338 0.92
468 -15.408 2.632 0.95
563 31.9277 3.679 0.92
923 19.8187 8.338 0.79
470 -20.9737 2.919 0.94
473 10.0081 3.518 0.95
282 23.2663 4.124 0.93
4 293.3061 7.416 0.86
475 62.8685 2.481 0.95
16 2.0792 5.866 0.9
482 79.1696 4.71 0.91
479 40.0581 3.591 0.93
481 29.936 6.401 0.87
484 62.3865 7.439 0.88
44 3.316 4.156 0.93
997 39.1777 5.905 0.88
22 85.3037 5.347 0.89
52 7.1328 6.225 0.89
151 51.9013 3.714 0.93
108 -19.6288 4.507 0.92
211 9.0448 3.92 0.95
29 43.1196 3.365 0.95
80 -48.9259 5.085 0.93
64 15.1743 3.403 0.92
81 66.8475 5.464 0.9
109 73.7805 3.306 0.93
155 190.2291 4.12 0.91
216 47.2562 6.44 0.84
37 45.2544 3.457 0.93
619 -2.6413 4.473 0.92
156 -4.6777 4.41 0.92
747 70.2786 5.195 0.84
94 -42.0477 2.931 0.95
190 8.8524 3.671 0.95
46 68.1455 4.998 0.92
238 54.8523 8.259 0.8
782 130.8855 5.422 0.83
355 232.144 12.931 0.59
433 53.9501 6.166 0.89
14 38.0893 2.466 0.95
75 48.5072 4.138 0.94
15 38.6732 2.084 0.96
36 0.1626 1.968 0.96
270 57.1882 3.993 0.91
74 -43.0163 11.173 0.66
313 15.1604 2.482 0.95
339 42.0086 2.763 0.94
227 19.2304 4.089 0.93
430 -3.2538 3.52 0.93
459 16.1457 2.141 0.95
837 57.4547 7.329 0.83
713 281.7603 14.717 0.54
758 60.5639 7.824 0.82
463 4.1417 6.938 0.89
530 52.254 3.338 0.93
499 -4.7751 5.602 0.91
667 50.5602 9.231 0.84
254 27.0844 3.119 0.94
550 1.9934 6.622 0.79
983 27.6426 4.955 0.93
159 47.714 3.436 0.93
745 -6.5574 5.219 0.94
868 -2.4106 5.188 0.9
884 17.7274 9.008 0.78
327 2.9458 3.84 0.91
418 57.043 11.936 0.76
315 312.717 4.457 0.91
686 55.2614 2.879 0.94
100 -2.7867 3.905 0.95
256 14.2099 3.017 0.94
511 113.8652 3.451 0.94
971 81.6525 6.438 0.94
362 62.278 4.773 0.92
656 -1.0685 2.318 0.96
502 100.0488 6.915 0.84
380 34.661 6.558 0.76
926 20.9192 6.249 0.86
480 -7.4845 2.819 0.96
5 -19.2516 3.171 0.92
490 -44.853 5.37 0.89
989 92.6135 35.51 0.65
414 27.518 4.816 0.93
724 62.5829 5.223 0.93
958 33.3866 6.004 0.87
981 74.0127 5.507 0.9
250 70.2654 3.4 0.93
505 38.7693 3.996 0.91
849 86.6778 5.261 0.9
569 21.1602 4.783 0.91
595 148.5287 3.785 0.86
902 15.0978 4.816 0.9
258 17.0329 3.082 0.89
621 25.422 4.018 0.92
508 -7.6883 7.687 0.88
624 48.6791 6.144 0.84
897 29.2233 9.671 0.67
988 85.5764 26.534 0.63
741 125.3743 10.044 0.78
847 66.3134 4.864 0.86
49 26.9315 3.065 0.95
874 -35.5126 7.649 0.79
