# oid   ra              dec                verr     vgsr                  ew        b                    l                    u           g           r_cone       i            z            err_u         err_g         err_r         err_i         err_z         dered_u     dered_g     dered_r      dered_i      dered_z     
  71    162.319166667   -0.755475          5.053    -174.71709940795898   0.8036    49.50331394187738    251.4502924038452    19.588745   17.205698   16.140062    15.746481    15.532126    0.043923274   0.0049800496  0.0040335967  0.004151692   0.0059336876  19.372318   17.046453   16.024565    15.658902    15.470033   
  72    162.316333333   -0.810297222222    5.245    -131.64890032653807   0.726     49.46195789963522    251.50586385730878   18.061945   16.20249    15.534381    15.296073    15.202076    0.017440178   0.0040745153  0.003716756   0.0040328316  0.0053337747  17.841892   16.040577   15.416948    15.207027    15.138942   
  73    162.128041667   -0.1309            7.837    -166.99919934997558   0.5181    49.81505463566563    250.5636017038163    19.025246   17.533985   16.891033    16.674322    16.552593    0.01922221    0.00512066    0.00456334    0.0047175935  0.008997079   18.819662   17.382719   16.781322    16.591131    16.49361    
  74    162.203791667   -0.329908333333    11.173   -181.24939884643555   0.1328    49.726892780155524   250.86373186147512   19.136824   17.961826   17.439323    17.185455    17.06845     0.026523404   0.005938234   0.005396509   0.0057827276  0.013757295   18.928062   17.808222   17.327917    17.100979    17.008556   
  75    162.279541667   -0.915844444444    4.138    -91.38100161132813    0.8192    49.360535647083644   251.57806879556188   18.460567   16.557762   15.811781    15.547035    15.396143    0.014109771   0.0040566786  0.0036644917  0.0036735062  0.0053454437  18.2317     16.389364   15.689645    15.454423    15.33048    
  76    162.195375      -0.541061111111    8.08     109.29939487304688    0.3242    49.570405916548225   251.08306531579558   19.062834   18.008785   17.50639     17.30564     17.225492    0.021453455   0.0059794895  0.0054929513  0.0057678707  0.012545446   18.849867   17.852087   17.392738    17.219461    17.16439    
  77    162.22975       -0.7879            2.695    -141.68059988555908   0.9136    49.41773815122435    251.38633449838917   18.999836   16.762125   15.857524    15.536599    15.369355    0.027134955   0.003970417   0.0037808549  0.0038761909  0.005192225   18.775076   16.596748   15.737578    15.445648    15.30487    
  78    162.192416667   -0.304125          4.514    -144.95430010757445   0.7522    49.73724845864456    250.8231701954273    18.960997   16.802288   15.895879    15.55149     15.359291    0.024454914   0.004020836   0.0038282764  0.004017244   0.00556118    18.753023   16.649263   15.784892    15.467332    15.299623   
  79    162.173416667   -0.466455555556    3.912    -136.27440005874635   0.6992    49.6082507322294     250.97824360570308   19.321777   17.2847     16.526018    16.23235     16.063602    0.0242479     0.0047480594  0.004200004   0.004070396   0.0067215622  19.112894   17.131006   16.414547    16.147823    16.003674   
  80    162.202208333   -0.826302777778    5.085    -188.63929828491212   0.637     49.371015106736444   251.39713135984462   18.15811    16.679893   16.100086    15.859136    15.724296    0.016804902   0.003934018   0.003872065   0.003988721   0.006308143   17.93574    16.516275   15.981417    15.769153    15.660497   
