# Dist     Mv     CL   Typ    LTef    logg   Age   Mass   B-V     U-B       V-I     V-K     V        mux       g-V                   muy      Vr       UU        VV        g-i                  WW        [Fe/H]   l           b      Av      Mbol     Vgsr          g                   
  1.036    6.3    5    6.3    3.682   4.56   4     0.82   1.017   0.811     1.006   2.412   16.509   -0.707    0.5167099747657776    -0.03    8.94     -30.58    -16.0     0.9538860621452332   -9.7      -0.17    251.19999   49.3   0.081   5.325    -130.06       17.02571075296402   
  1.036    6.3    5    6.3    3.682   4.56   5     0.83   1.008   0.782     1.003   2.409   16.525   -1.213    0.5110400102138519    -1.078   42.35    -33.6     -81.37    0.9494430310726167   -19.71    -0.25    251.19999   49.3   0.081   5.325    -96.65        17.036039628744124  
  1.036    6.0    5    6.1    3.697   4.56   7     0.85   0.898   0.492     0.932   2.221   16.193   -0.47     0.4417400012016296    0.469    -8.85    -28.92    16.21     0.8442919724583626   -6.49     -0.63    251.19999   49.3   0.081   5.155    -147.85       16.63474079465866   
  1.036    5.8    5    6.0    3.707   4.55   7     0.89   0.865   0.457     0.908   2.136   15.977   -0.283    0.42095000600814825   -0.238   9.71     -8.13     -18.38    0.8087479887008668   -4.42     -0.41    251.19999   49.3   0.081   5.02     -129.29       16.39795024251938   
  1.036    5.8    5    6.0    3.707   4.56   7     0.91   0.868   0.467     0.908   2.137   15.872   -0.628    0.422839981675148     0.989    -12.04   -47.26    34.93     0.8087479887008668   -0.53     -0.39    251.19999   49.3   0.081   5.02     -151.04       16.294839722275732  
  1.036    7.4    5    6.44   3.665   4.72   8     0.62   1.052   0.765     1.102   2.596   17.495   -0.873    0.5387600288391113    0.397    126.42   -72.41    -75.25    1.0960619971752168   85.41     -0.77    251.19999   49.3   0.081   6.93     -12.580002    18.03376086807251   
  1.036    7.2    5    6.37   3.674   4.71   8     0.63   1.026   0.797     1.046   2.503   17.369   -0.331    0.5223800144195556    0.289    -13.87   -17.79    14.65     1.0131260056495668   -11.3     -0.46    251.19999   49.3   0.081   6.779    -152.87       17.89137949562073   
  1.036    6.4    5    5.93   3.716   4.66   8     0.7    0.781   0.208     0.875   2.055   16.534   -1.375    0.3680300114154816    -1.593   111.07   -42.5     -144.63   0.7598750000000001   16.96     -0.92    251.19999   49.3   0.081   6.148    -27.93        16.902030408143997  
  1.086    6.8    5    6.4    3.66    4.61   7     0.77   1.142   1.023     1.166   2.696   17.145   -0.864    0.5954599747657776    0.13     27.23    -46.67    -23.9     1.190846012711525    3.52      -0.14    251.19999   49.3   0.081   5.695    -111.770004   17.74046043252945   
  1.086    6.7    5    6.4    3.664   4.59   7     0.78   1.136   1.048     1.14    2.652   16.908   -0.369    0.591680023431778     -0.185   32.81    -18.34    -32.44    1.152339978814125    11.79     0.03     251.19999   49.3   0.081   5.595    -106.19       17.4996809694767    
  1.086    6.6    5    6.3    3.669   4.6    7     0.79   1.067   0.869     1.088   2.574   16.928   -0.818    0.548210019826889     -0.232   38.66    -38.01    -44.08    1.0753280875682831   4.57      -0.37    251.19999   49.3   0.081   5.56     -100.34       17.47620951628685   
  1.086    5.8    5    6.1    3.707   4.51   7     0.84   0.858   0.428     0.906   2.133   16.053   0.176     0.41653998768329625   -1.113   40.06    27.12     -64.58    0.8057860268354415   7.77      -0.49    251.19999   49.3   0.081   4.955    -98.94        16.469539484143258  
  1.086    7.2    5    6.37   3.674   4.71   8     0.63   0.994   0.658     1.024   2.477   17.474   -0.659    0.5022200111150742    -2.271   134.61   -0.18     -178.59   0.9805440720319749   32.08     -0.89    251.19999   49.3   0.081   6.779    -4.3899994    17.976220941901207  
  1.086    7.0    5    6.29   3.684   4.7    8     0.65   0.951   0.599     0.98    2.366   17.358   -1.805    0.4751299843788147    1.106    46.76    -116.27   -11.99    0.9153800282478333   19.69     -0.76    251.19999   49.3   0.081   6.625    -92.240005    17.833129786014556  
  1.136    6.9    5    6.5    3.656   4.58   6     0.75   1.154   1.023     1.194   2.742   17.208   -1.003    0.6030200276374817    -0.24    3.61     -40.23    -26.42    1.23231400847435     -27.91    -0.22    251.19999   49.3   0.081   5.73     -135.39       17.81102021074295   
  1.136    6.4    5    6.3    3.678   4.57   7     0.79   1.023   0.807     1.019   2.46    16.783   -0.491    0.5204900012016297    0.51     7.52     -37.36    8.46      0.9731390790939332   6.44      -0.33    251.19999   49.3   0.081   5.425    -131.48       17.30349094724655   
  1.136    6.1    5    6.2    3.692   4.57   6     0.86   0.921   0.542     0.951   2.279   16.556   -1.391    0.4562300024032593    0.333    46.6     -82.0     -35.83    0.8724309632778169   9.56      -0.65    251.19999   49.3   0.081   5.19     -92.4         17.012229758262635  
  1.136    5.7    5    6.0    3.712   4.53   6     0.89   0.847   0.431     0.895   2.096   16.153   -0.614    0.40961000180244445   0.67     -22.46   -40.87    31.56     0.7894949717521669   -15.26    -0.33    251.19999   49.3   0.081   4.92     -161.45999    16.562609879732133  
  1.136    5.5    5    5.8    3.723   4.48   7     0.89   0.785   0.295     0.866   2.001   15.916   -0.448    0.37055001652240754   -0.665   23.13    -7.9      -47.23    0.7465459950566293   -10.14    -0.41    251.19999   49.3   0.081   4.751    -115.87       16.286550382733346  
  1.136    7.4    5    6.44   3.665   4.72   8     0.62   1.063   0.816     1.111   2.608   17.68    -0.471    0.5456899771690369    0.758    37.22    -49.19    0.26      1.1093909138441087   35.68     -0.61    251.19999   49.3   0.081   6.93     -101.78       18.225690282344818  
  1.136    6.6    5    6.12   3.705   4.67   8     0.68   0.897   0.573     0.919   2.16    17.036   -0.662    0.44111000931262967   -1.582   5.47     10.11     -75.93    0.8250390437841415   -51.82    -0.16    251.19999   49.3   0.081   6.31     -133.53       17.477109307408334  
